1,1,"Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang."
1,2,"Segala puji bagi Allah, Tuhan semesta alam."
1,3,"Maha Pemurah lagi Maha Penyayang."
1,4,"Yang menguasai di Hari Pembalasan."
1,5,"Hanya Engkaulah yang kami sembah, dan hanya kepada Engkaulah kami meminta pertolongan."
1,6,"Tunjukilah kami jalan yang lurus,"
1,7,"(yaitu) Jalan orang-orang yang telah Engkau beri nikmat kepada mereka bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat."
2,1,"Alif laam miim."
2,2,"Kitab (Al Quran) ini tidak ada keraguan padanya petunjuk bagi mereka yang bertakwa,"
2,3,"(yaitu) mereka yang beriman kepada yang ghaib, yang mendirikan shalat, dan menafkahkan sebahagian rezeki yang Kami anugerahkan kepada mereka."
2,4,"dan mereka yang beriman kepada Kitab (Al Quran) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu, serta mereka yakin akan adanya (kehidupan) akhirat."
2,5,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang beruntung."
2,6,"Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak juga akan beriman."
2,7,"Allah telah mengunci-mati hati dan pendengaran mereka, dan penglihatan mereka ditutup. Dan bagi mereka siksa yang amat berat."
2,8,"Di antara manusia ada yang mengatakan: quotKami beriman kepada Allah dan Hari kemudian,quot pada hal mereka itu sesungguhnya bukan orang-orang yang beriman."
2,9,"Mereka hendak menipu Allah dan orang-orang yang beriman, padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar."
2,10,"Dalam hati mereka ada penyakit, lalu ditambah Allah penyakitnya dan bagi mereka siksa yang pedih, disebabkan mereka berdusta."
2,11,"Dan bila dikatakan kepada mereka: quotJanganlah kamu membuat kerusakan di muka bumiquot. Mereka menjawab: quotSesungguhnya kami orang-orang yang mengadakan perbaikanquot."
2,12,"Ingatlah, sesungguhnya mereka itulah orang-orang yang membuat kerusakan, tetapi mereka tidak sadar."
2,13,"Apabila dikatakan kepada mereka: quotBerimanlah kamu sebagaimana orang-orang lain telah berimanquot. Mereka menjawab: quotAkan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman?quot Ingatlah, sesungguhnya merekalah orang-orang yang bodoh tetapi mereka tidak tahu."
2,14,"Dan bila mereka berjumpa dengan orang-orang yang beriman, mereka mengatakan: quotKami telah berimanquot. Dan bila mereka kembali kepada syaitan-syaitan mereka, mereka mengatakan: quotSesungguhnya kami sependirian dengan kamu, kami hanyalah berolok-olokquot."
2,15,"Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka."
2,16,"Mereka itulah orang yang membeli kesesatan dengan petunjuk, maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk."
2,17,"Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka, dan membiarkan mereka dalam kegelapan, tidak dapat melihat."
2,18,"Mereka tuli, bisu dan buta, maka tidaklah mereka akan kembali (ke jalan yang benar),"
2,19,"atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita, guruh dan kilat mereka menyumbat telinganya dengan anak jarinya, karena (mendengar suara) petir, sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir."
2,20,"Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berjalan di bawah sinar itu, dan bila gelap menimpa mereka, mereka berhenti. Jikalau Allah menghendaki, niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu."
2,21,"Hai manusia, sembahlah Tuhanmu yang telah menciptakanmu dan orang-orang yang sebelummu, agar kamu bertakwa,"
2,22,"Dialah yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap, dan Dia menurunkan air (hujan) dari langit, lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah, padahal kamu mengetahui."
2,23,"Dan jika kamu (tetap) dalam keraguan tentang Al Quran yang Kami wahyukan kepada hamba Kami (Muhammad), buatlah satu surat (saja) yang semisal Al Quran itu dan ajaklah penolong-penolongmu selain Allah, jika kamu orang-orang yang benar."
2,24,"Maka jika kamu tidak dapat membuat(nya) -- dan pasti kamu tidak akan dapat membuat(nya), peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu, yang disediakan bagi orang-orang kafir."
